strategy_name,entry_date,entry_price,entry_index,entry_position,exit_date,exit_price,holding_days,trade_return,max_adverse_return,max_favorable_return
momentum_20,2021-12-17,70.47,962,1.0,2021-12-20,68.22,1,-0.03446956893997444,-0.05250461189158506,-0.02440754931176381
momentum_20,2021-12-23,67.37,966,1.0,2021-12-28,66.02,3,-0.022564606801312892,-0.019444856761169693,0.016773044381772184
momentum_20,2022-01-04,67.52,973,1.0,2022-01-05,63.22,1,-0.06616876142180095,-0.1161137440758293,-0.07212677725118477
momentum_20,2022-02-16,55.46,999,1.0,2022-02-17,54.82,1,-0.014117636812116974,-0.009015506671474882,0.031373963216732914
momentum_20,2022-02-24,60.72,1005,1.0,2022-03-24,59.48,20,-0.02294984041269499,-0.08679183135704871,0.037878787878787845
momentum_20,2022-05-16,50.72,1057,1.0,2022-05-17,49.71,1,-0.022475965362775963,-0.023462145110410004,0.009858044164037905
momentum_20,2022-05-18,51.23,1059,1.0,2022-08-12,67.7,61,0.318072365474233,0.017177435096623173,0.4239703298848332
momentum_20,2022-08-16,73.22,1122,1.0,2022-09-16,71.27,22,-0.02914683936246021,-0.026222343621961186,0.12414640808522259
momentum_20,2022-10-27,75.11,1168,1.0,2022-11-01,68.71,3,-0.08758774587093077,-0.07389162561576346,-0.004659832246039053
momentum_20,2022-11-02,70.95,1172,1.0,2022-11-15,68.26,9,-0.040397533035431255,-0.035517970401691246,0.07117688513037357
momentum_20,2022-11-16,70.04,1182,1.0,2022-11-18,66.8,2,-0.04873970458691168,-0.06196459166190749,0.00913763563677894
momentum_20,2022-12-13,68.96,1201,1.0,2022-12-14,68.94,1,-0.0028880611600927697,-0.020301624129930307,-0.01725638051044076
momentum_20,2022-12-16,68.1,1204,1.0,2022-12-22,64.5,4,-0.05533670085522879,-0.1350954478707782,-0.0022026431718060735
momentum_20,2023-01-19,66.81,1227,1.0,2023-02-22,64.8,19,-0.03262726589185927,-0.030085316569375964,0.01781170483460559
momentum_20,2023-02-24,67.3,1248,1.0,2023-02-28,66.3,2,-0.017438807392788358,-0.019167904903417465,-0.005943536404160343
momentum_20,2023-03-13,67.11,1259,1.0,2023-03-15,65.9,2,-0.020590789650356323,-0.03874236328416025,-0.00536432722396063
momentum_20,2023-03-31,62.85,1273,1.0,2023-05-08,65.38,22,0.03758404441614838,0.0014319809069212042,0.11551312649164669
momentum_20,2023-05-16,69.05,1301,1.0,2023-05-18,70.1,2,0.012570755618713125,0.008254887762491059,0.026502534395365762
momentum_20,2023-05-19,70.55,1304,1.0,2023-06-06,65.32,12,-0.07651955015819212,-0.0863217576187102,0.0182849043231752
momentum_20,2023-06-30,68.5,1332,1.0,2023-07-18,65.68,12,-0.04365106402507413,-0.0649635036496351,0.016788321167883202
momentum_20,2023-11-14,45.18,1423,1.0,2023-11-27,41.03,9,-0.09421195426112461,-0.10535635236830454,-0.0019920318725098474
momentum_20,2023-11-30,41.73,1435,1.0,2023-12-04,41.31,2,-0.012632962153561578,-0.02755811167026112,0.004553079319434605
momentum_20,2023-12-29,43.4,1456,1.0,2024-01-08,38.25,5,-0.12096450105263157,-0.13824884792626724,-0.012903225806451535
momentum_20,2024-03-05,35.51,1496,1.0,2024-03-26,33.52,15,-0.05850688249476943,-0.054632497887918796,0.06448887637285261
momentum_20,2024-04-30,33.26,1534,1.0,2024-05-06,33.34,1,-0.00019759788334305917,-0.017739025856885027,-0.009320505111244604
momentum_20,2024-05-10,32.55,1539,1.0,2024-05-13,31.23,1,-0.04307855999999999,-0.03963133640552985,-0.031029185867895492
momentum_20,2024-05-16,31.51,1543,1.0,2024-05-30,32.7,10,0.03508203664821896,-0.005395112662646806,0.07426213900349099
momentum_20,2024-06-13,31.58,1562,1.0,2024-06-21,30.85,6,-0.0256253721578954,-0.03894870170994291,0.05351488283723893
momentum_20,2024-07-23,29.54,1590,1.0,2024-07-24,28.27,1,-0.04551372587677727,-0.0511171293161814,-0.039607312119160354
momentum_20,2024-07-26,28.55,1593,1.0,2024-07-30,27.84,2,-0.02739636569217041,-0.029772329246935292,0.01050788091068311
momentum_20,2024-07-31,27.69,1596,1.0,2024-08-05,28.14,3,0.013651739195265522,-0.019140483929216412,0.05922715781870691
momentum_20,2024-08-08,28.15,1602,1.0,2024-08-09,28.14,1,-0.0029531603552397367,-0.030905861456482997,-0.009591474245115417
momentum_20,2024-09-26,22.73,1635,1.0,2024-10-14,32.55,7,0.42838214884927495,0.053233611966563954,0.6858776946766387
momentum_20,2024-10-15,32.95,1643,1.0,2024-11-06,35.05,16,0.060942441948869774,-0.048254931714719396,0.1301972685887709
momentum_20,2024-11-11,36.45,1662,1.0,2024-11-19,34.48,6,-0.05643719811907899,-0.05733882030178339,0.09958847736625498
momentum_20,2024-11-22,34.95,1671,1.0,2024-11-25,33.45,1,-0.04543976171673825,-0.04492131616595141,-0.04005722460658101
momentum_20,2024-12-02,33.95,1677,1.0,2024-12-04,35.3,2,0.03707641605655909,0.008836524300441795,0.02680412371134011
momentum_20,2024-12-24,33.15,1693,1.0,2024-12-26,32.33,2,-0.027261044833127634,-0.02051282051282055,0.014479638009049944
momentum_20,2025-02-10,31.87,1720,1.0,2025-03-27,32.78,33,0.02586844634151042,-0.055224348917477295,0.09507373705679312
momentum_20,2025-05-09,28.36,1780,1.0,2025-05-15,28.08,4,-0.012450451011973951,-0.030677009873060657,-0.0003526093088856985
momentum_20,2025-05-23,28.14,1790,1.0,2025-05-26,27.68,1,-0.018915972935323433,-0.02238805970149249,-0.02025586353944564
momentum_20,2025-05-30,27.16,1795,1.0,2025-06-03,26.65,1,-0.021342374432989808,-0.014359351988218028,-0.012886597938144395
momentum_20,2025-07-01,26.93,1816,1.0,2025-07-04,27.24,3,0.008884050790171072,-0.004827330115113271,0.013739324173783984
momentum_20,2025-07-09,27.91,1822,1.0,2025-08-11,27.95,23,-0.0011751688683712125,-0.023289143676101687,0.04120386958079547
momentum_20,2025-08-12,28.51,1846,1.0,2025-10-20,38.35,43,0.3416481280556505,-0.011224131883549648,0.66292528937215
momentum_20,2025-10-21,38.91,1890,1.0,2025-10-29,39.22,6,0.005375217522758602,0.007967103572346534,0.07761500899511709
momentum_20,2025-10-30,40.56,1897,1.0,2025-11-03,38.85,2,-0.04467329192285108,-0.04215976331360949,-0.02785996055226836
momentum_20,2025-11-17,39.39,1909,1.0,2025-11-18,38.07,1,-0.03604928353389192,-0.06879918761106885,-0.03021071337903014
momentum_20,2025-12-22,34.83,1934,1.0,2026-02-13,52.05,37,0.49058959199796304,0.05081826012058577,0.7817973011771462
momentum_20,2026-02-24,52.15,1972,1.0,2026-03-09,46.53,9,-0.11009036773583036,-0.10853307766059439,0.0724832214765101
momentum_20,2026-03-10,47.15,1982,1.0,2026-03-12,47.56,2,0.006092859821761554,-0.0042417815482501675,0.02396606574761395
momentum_20,2026-04-17,44.51,2009,1.0,2026-04-21,45.19,2,0.01266238606400294,0.002696023365535982,0.03414962929678733
momentum_20,2026-04-23,44.91,2013,1.0,2026-04-24,43.22,1,-0.0401616417189935,-0.033845468715208105,-0.03273213092852367
momentum_20,2026-04-27,43.37,2015,1.0,2026-04-28,41.04,1,-0.05622562940281295,-0.07470601798478205,-0.008531242794558414
momentum_20,2026-04-30,41.67,2018,1.0,2026-06-02,47.98,20,0.14846613226540106,0.019198464122870185,0.36069114470842334
momentum_20,2026-06-03,48.01,2039,1.0,2026-06-09,46.46,4,-0.03480300133417813,-0.04686523640908147,0.10706102895230152
