factor,year,ic,rank_ic,count
log_ret_10d,2024.0,-0.049007607823385355,-0.13860388930672754,242.0
log_ret_10d,2025.0,-0.01947690699816878,-0.02800149198559531,243.0
log_ret_10d,2026.0,0.046628955897522854,0.10365821586366504,97.0
ret_20d,2018.0,-0.02415893523044681,-0.03946387392857063,223.0
ret_20d,2019.0,0.028275274425678815,0.0064615537756866626,244.0
ret_20d,2020.0,-0.10273914398485642,-0.07102403401459537,243.0
ret_20d,2021.0,-0.020829898461980544,0.005261256378991103,243.0
ret_20d,2022.0,-0.05463179462835291,-0.03728004721340569,242.0
ret_20d,2023.0,-0.16761043293929867,-0.1266578353212328,242.0
ret_20d,2024.0,-0.059816735606203056,-0.10974451962191412,242.0
ret_20d,2025.0,0.00038864091188452063,0.009124614484933671,243.0
ret_20d,2026.0,-0.03809081542022992,-0.027995476541131915,97.0
log_ret_20d,2018.0,-0.03283905792820133,-0.03946387392857063,223.0
log_ret_20d,2019.0,0.016486838661837755,0.0064615537756866626,244.0
log_ret_20d,2020.0,-0.07512012054774964,-0.07102403401459537,243.0
log_ret_20d,2021.0,-0.012201096740907342,0.005261256378991103,243.0
log_ret_20d,2022.0,-0.06723602083850384,-0.03728004721340569,242.0
log_ret_20d,2023.0,-0.1602143828227859,-0.1266578353212328,242.0
log_ret_20d,2024.0,-0.05451486593645505,-0.10974451962191412,242.0
log_ret_20d,2025.0,0.007489139300941464,0.009124614484933671,243.0
log_ret_20d,2026.0,-0.0027169080428266676,-0.027995476541131915,97.0
ret_60d,2018.0,-0.273709822670822,-0.28262267924974116,183.0
ret_60d,2019.0,-0.3033339777385746,-0.27000565860831277,244.0
ret_60d,2020.0,-0.286197393740745,-0.20293094883258816,243.0
ret_60d,2021.0,-0.13536567591629137,-0.16597587064551794,243.0
ret_60d,2022.0,-0.05447287642757238,-0.09552713098544861,242.0
ret_60d,2023.0,0.1203869245772219,0.14368124854733683,242.0
ret_60d,2024.0,-0.13391683278259978,-0.14216225335679364,242.0
ret_60d,2025.0,-0.09838823377149694,-0.12963966540717656,243.0
ret_60d,2026.0,-0.46917276732724794,-0.47142594151062484,97.0
log_ret_60d,2018.0,-0.302611344723683,-0.28262267924974116,183.0
log_ret_60d,2019.0,-0.2793136886522762,-0.27000565860831277,244.0
log_ret_60d,2020.0,-0.25521390545270406,-0.20293094883258816,243.0
log_ret_60d,2021.0,-0.1370904157495483,-0.16597587064551794,243.0
log_ret_60d,2022.0,-0.0669983790927384,-0.09552713098544861,242.0
log_ret_60d,2023.0,0.11641932465663686,0.14368124854733683,242.0
