factor,quantile,mean_return,median_return,count
amount_chg_5d,4.0,0.0024774704660779105,0.0,407.0
amount_chg_5d,5.0,0.0012547305503637753,-0.0007285974821404986,407.0
turnover_chg_1d,1.0,0.007506253537380791,0.004259478756509391,408.0
turnover_chg_1d,2.0,0.004375892560648752,-0.00071539290042846,407.0
turnover_chg_1d,3.0,-0.0008385644365108405,-0.007116800086587332,408.0
turnover_chg_1d,4.0,-0.0015049338477057703,-0.0009239298470623747,407.0
turnover_chg_1d,5.0,0.00636733491789312,0.004927169035629137,408.0
turnover_ratio_20d,1.0,-0.0005206401522101622,-0.004047674970076351,404.0
turnover_ratio_20d,2.0,0.002171612298370722,-0.005232046137545748,404.0
turnover_ratio_20d,3.0,0.002868593974395704,0.00022115617796984155,404.0
turnover_ratio_20d,4.0,0.0031977379422727346,0.0018512905622037786,404.0
turnover_ratio_20d,5.0,0.010514885575573216,0.0074173584950893955,404.0
price_volume_divergence_20d,1.0,0.013073300280725987,0.006611990645722036,404.0
price_volume_divergence_20d,2.0,-0.003452877717913487,-0.005178064822739811,404.0
price_volume_divergence_20d,3.0,0.0026593957276971085,0.0034572203838577208,403.0
price_volume_divergence_20d,4.0,-0.0015217861763254742,-0.003900717613985868,404.0
price_volume_divergence_20d,5.0,0.0076248428987021714,-0.003964969349523787,404.0
volatility_5d,1.0,-0.000565904843372296,-0.00071539290042846,407.0
volatility_5d,2.0,0.0006438869025184076,-0.005914677149957483,407.0
volatility_5d,3.0,-0.0042291882740419584,-0.001086811830986856,406.0
volatility_5d,4.0,0.010866870849565693,0.001376936534245917,407.0
volatility_5d,5.0,0.010216808213709157,0.008482546728694803,407.0
downside_vol_5d,1.0,-0.006893754515282576,-0.006639640769898924,407.0
downside_vol_5d,2.0,-0.0016697641980258447,-0.008802606543422917,407.0
downside_vol_5d,3.0,0.006746815306972691,0.0004588208385149911,407.0
downside_vol_5d,4.0,0.00541921211749698,0.004094171532663147,407.0
downside_vol_5d,5.0,0.01319411997676856,0.015806247104255215,407.0
max_drawdown_5d,1.0,0.014827875315954737,0.014748198091782565,407.0
max_drawdown_5d,2.0,0.006074385642372775,0.003950622422193754,407.0
max_drawdown_5d,3.0,-0.003260585161574479,-0.009569451016150672,407.0
max_drawdown_5d,4.0,0.000343222304200802,-0.00286944242795282,407.0
max_drawdown_5d,5.0,-0.001188269413024021,-0.0036934483353516095,407.0
volatility_10d,1.0,-0.0036334644193742665,-0.0072754396136718285,406.0
volatility_10d,2.0,0.003004816663656618,0.0032697749858653386,406.0
volatility_10d,3.0,0.0025673589295799634,0.001583303677286178,405.0
volatility_10d,4.0,0.0007085989414237701,-0.0023867224506709797,406.0
volatility_10d,5.0,0.013908083648670556,0.01355093638451026,406.0
downside_vol_10d,1.0,-0.005353881668704354,-0.006163945992335376,406.0
downside_vol_10d,2.0,0.0026533552991920275,-0.003970057836266768,406.0
downside_vol_10d,3.0,0.007861554446579494,0.005940050179749499,406.0
downside_vol_10d,4.0,-0.00088876753775834,0.002173247817299251,406.0
downside_vol_10d,5.0,0.012505514561876568,0.00849059072507877,406.0
max_drawdown_10d,1.0,0.010017931872425397,0.008186225798908334,406.0
max_drawdown_10d,2.0,0.00044689522910340747,-0.006336711043209971,406.0
max_drawdown_10d,3.0,0.010137232413853389,0.008250994578370845,406.0
max_drawdown_10d,4.0,0.0006116385994758372,0.0005552471420135576,406.0
max_drawdown_10d,5.0,-0.004435923013672633,-0.007581433025805972,406.0
volatility_20d,1.0,0.001804424133069448,-0.00363699202866284,404.0
volatility_20d,2.0,0.0027278606411539,-6.981117642786125e-05,404.0
volatility_20d,3.0,0.00126729225780059,-0.0036934483353516095,403.0
volatility_20d,4.0,-0.00122400358590531,0.0010580346271487325,404.0
volatility_20d,5.0,0.01380385576609962,0.007349929587674112,404.0
downside_vol_20d,1.0,-0.0070373280578293765,-0.009588533264482701,404.0
