portfolio,total_return,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_loss_ratio,trade_count,avg_holding_days,turnover,single_period_max_loss,max_consecutive_losses,excess_total_return,excess_vs_buy_hold,strategy_name,kind,fast,slow,window,risk_filter,buy_hold_total_return,beats_buy_hold
strategy,2.508792748688677,0.1673772497091235,0.4353278804482065,0.3844854814646712,0.4894532328917613,0.2811626780235086,-0.595303938935767,0.4768595041322314,1.2475463503929771,93.0,24.893617021276597,93.0,-0.16675690308608548,9.0,-0.6790879052992944,0.19731733885259528,ma_10_250_limit_tradable,ma,10.0,250.0,,limit_tradable,2.3114754098360817,True
strategy,2.827777980819112,0.1799677726946407,0.4485903071956881,0.40118515671836297,0.5104458447352237,0.2773883089971349,-0.6487936472351455,0.4409171075837742,1.4679611422896908,212.0,9.773584905660377,212.0,-0.16675690308608548,9.0,-0.6115411802548636,0.5163025709830302,momentum_20_limit_tradable,momentum,,,20.0,limit_tradable,2.3114754098360817,True
strategy,2.3600158734687193,0.16115820872830544,0.4162729259915518,0.38714554482358077,0.4736139978349391,0.2641351822650527,-0.6101353380731667,0.4804088586030664,1.2298065377546883,73.0,30.91891891891892,73.0,-0.16675690308608548,9.0,-0.7311666580959051,0.04854046363263764,ma_60_250_none,ma,60.0,250.0,,none,2.3114754098360817,True
strategy,2.4954675193241056,0.16682976505197167,0.4227344616416713,0.39464434577700475,0.49117857532893805,0.26063995245899046,-0.6400774842000516,0.47956630525437866,1.2348325737925872,81.0,28.4390243902439,81.0,-0.16675690308608548,8.0,-0.707641149403974,0.1839921094880239,ma_20_250_gap_risk,ma,20.0,250.0,,gap_risk,2.3114754098360817,True
strategy,2.5335132546390984,0.16838811453072267,0.44987920297307243,0.37429628535374093,0.4748475374525748,0.25954032572346214,-0.6487936472351455,0.44140969162995597,1.4565090304095352,208.0,9.990384615384615,208.0,-0.16675690308608548,9.0,-0.6381174756807866,0.2220378448030167,momentum_20_none,momentum,,,20.0,none,2.3114754098360817,True
strategy,2.9326883828283723,0.18390781651043353,0.4396218255311174,0.41833186122697663,0.5298463771939788,0.25438016085665066,-0.7229644634672199,0.4734133790737564,1.2775900031706846,95.0,23.5,95.0,-0.16675690308608548,9.0,-0.6291286063010743,0.6212129729922906,ma_5_180_gap_risk,ma,5.0,180.0,,gap_risk,2.3114754098360817,True
strategy,1.9349392551386857,0.1419555674759947,0.3839126810562086,0.369760037843634,0.38974507824214577,0.3577473148203812,-0.39680400549552175,0.4777777777777778,1.2681625882623544,85.0,18.0,85.0,-0.16675690308608548,9.0,-0.8095605185326971,-0.376536154697396,ma_30_60_close_gt_ma120,ma,30.0,60.0,,close_gt_ma120,2.3114754098360817,False
strategy,2.194896823156228,0.15396678545726794,0.41351516550223066,0.37233649041690925,0.43698898291145527,0.3472629511195765,-0.44337233488593786,0.4675324675324675,1.3079187089409745,101.0,18.745098039215687,101.0,-0.16675690308608548,11.0,-0.7487457989539988,-0.11657858667985366,ma_20_120_close_gt_ma120,ma,20.0,120.0,,close_gt_ma120,2.3114754098360817,False
strategy,2.1612058003662407,0.15245953114681132,0.38367167582458844,0.397369784514702,0.41760797570114355,0.3469137662931279,-0.43947385765599534,0.44779582366589327,1.4404472840624358,213.0,7.093457943925234,213.0,-0.16675690308608548,15.0,-0.7953591818265053,-0.15026960946984103,ma_20_180_amount_liquidity,ma,20.0,180.0,,amount_liquidity,2.3114754098360817,False
strategy,1.9088306062553606,0.14069822428006873,0.4140827715664239,0.33978285005151204,0.39933382279644114,0.341337062333368,-0.4121973257701952,0.46844181459566075,1.291955759618438,103.0,18.596153846153847,103.0,-0.16675690308608548,9.0,-0.7703567712290307,-0.4026448035807211,ma_10_250_close_gt_ma120,ma,10.0,250.0,,close_gt_ma120,2.3114754098360817,False
strategy,1.970544515867672,0.14365453731528066,0.3413469050373568,0.4208461690887726,0.4677609638510405,0.32760799223381226,-0.43849521599202956,0.4691501746216531,1.3171150592598808,100.0,16.24,100.0,-0.11015806886410973,10.0,-0.8501991364499729,-0.3409308939684097,ma_5_120_vol_pct_lt_80,ma,5.0,120.0,,vol_pct_lt_80,2.3114754098360817,False
strategy,2.29249066223252,0.15825556848375655,0.34578999342115874,0.45766381761952096,0.5058409801957464,0.32686538306510354,-0.4841612990637064,0.47740440324449596,1.2837776047433003,86.0,19.13953488372093,86.0,-0.11015806886410973,15.0,-0.8297251708411139,-0.018984747603561836,ma_20_120_vol_pct_lt_80,ma,20.0,120.0,,vol_pct_lt_80,2.3114754098360817,False
strategy,1.9421020608714423,0.1422988002527401,0.3973009455780054,0.3581637593278806,0.4029364507626307,0.32183060247001954,-0.44215434815897003,0.4774869109947644,1.2511293839341646,83.0,21.904761904761905,83.0,-0.16675690308608548,9.0,-0.7924438150849401,-0.36937334896463936,ma_60_120_close_gt_ma250,ma,60.0,120.0,,close_gt_ma250,2.3114754098360817,False
strategy,1.6980426131123378,0.13016799208006913,0.3586689093175918,0.3629196417602196,0.3547704191638914,0.32120724993304356,-0.4052461210237408,0.45073891625615764,1.4128973233312503,209.0,6.761904761904762,209.0,-0.16675690308608548,15.0,-0.8500585305233205,-0.6134327967237438,ma_60_180_amount_liquidity,ma,60.0,180.0,,amount_liquidity,2.3114754098360817,False
strategy,2.0269390862015806,0.14630932079173453,0.3433819943903436,0.42608326348473485,0.46931375062898084,0.3091634548456663,-0.47324261163005765,0.47294117647058825,1.2995678457933755,92.0,17.543478260869566,92.0,-0.11015806886410973,11.0,-0.8456017042180634,-0.2845363236345011,ma_10_120_vol_pct_lt_80,ma,10.0,120.0,,vol_pct_lt_80,2.3114754098360817,False
strategy,1.917882192423939,0.1411352480086172,0.4074491438588433,0.34638739615934033,0.4006896586088035,0.3022616659451423,-0.4669306892334536,0.47633136094674555,1.250867648822534,91.0,21.195652173913043,91.0,-0.16675690308608548,9.0,-0.7799662213639724,-0.3935932174121426,ma_10_120_close_gt_ma250,ma,10.0,120.0,,close_gt_ma250,2.3114754098360817,False
