factor,horizon,observations,coverage_rate,missing_rate,pearson_ic,spearman_ic,rolling_rank_ic_mean,rolling_rank_ic_std,icir,prediction_score,stability_score,monotonicity_score,non_redundancy_score,low_turnover_score,explainability_score,factor_score,suitable_for_model,overfit_risk
kbar_body,5,2039,0.9975538160469667,0.0024461839530333096,-0.018627253023621282,-0.024092355632937663,-0.027534602408154123,0.0611878483971734,-0.45000115430478344,0.30115444541172076,0.7833344876381167,0.7999999999999999,0.08808460688155884,0.38244103332085366,0.7,0.4884700255154588,False,medium
dist_to_high_120d,5,1919,0.9388454011741683,0.06115459882583174,-0.016723241544420998,-0.01326656110180079,-0.09946865680256632,0.09312491956011275,-1.0681207272169362,0.16583201377250986,0.9444444444444444,0.3,0.1448113341859124,0.8449033391915642,0.9,0.47985052706768516,False,medium
ma_gap_120d,5,1920,0.9393346379647749,0.0606653620352251,-0.05356130346209578,-0.01786270297673872,-0.14883194974374284,0.10431972676557422,-1.42669037159382,0.22328378720923397,0.9444444444444444,0.19999999999999998,0.10447109711711522,0.8570155902004455,0.9,0.4772462486392709,False,high
ma_gap_20d,5,2020,0.9882583170254403,0.011741682974559686,-0.01650951390437071,-0.006446867411262318,-0.06380633207873689,0.0677148434879312,-0.9422798428251417,0.08058584264077898,0.8888888888888888,0.7,0.04681348876550384,0.7205411178355287,0.9,0.47602966566838995,False,medium
volatility_60d,5,1979,0.9681996086105675,0.03180039138943247,-0.02625238648252326,-0.01646143331292875,-0.0711154904391375,0.1194293094674187,-0.5954609530631038,0.20576791641160938,0.8333333333333333,0.39999999999999997,0.0,0.9465393794749403,0.9,0.4730509795376435,False,medium
intraday_range,5,2039,0.9975538160469667,0.0024461839530333096,0.024931662268408296,0.040738178224193414,0.00945997331788185,0.09114758038708337,0.10378743218094721,0.5092272278024177,0.3260096544031694,0.39999999999999997,0.3879401977739567,0.46537585421412303,0.9,0.472698714308865,False,high
high_low_range_20d,5,2020,0.9882583170254403,0.011741682974559686,0.01406868815527834,0.0419482433897768,0.04059884631888948,0.18811778019654754,0.21581610348831118,0.5243530423722099,0.49359388126608894,0.19999999999999998,0.20291939874124532,0.8408807644370586,0.7,0.4705506752197734,False,high
dist_to_low_120d,5,1919,0.9388454011741683,0.06115459882583174,-0.053604126597642895,-0.018819458029061178,-0.12227357488929963,0.11709043907954905,-1.0442660891059539,0.23524322536326472,0.9444444444444444,0.09999999999999999,0.10447109711711522,0.8740909090909091,0.9,0.46754161197452654,False,high
trend_consistency_20d,5,2020,0.9882583170254403,0.011741682974559686,0.040664621124016434,0.037383385476101524,-0.030012279400019434,0.07188342080923157,-0.4175132327058805,0.46729231845126906,0.5841798993725471,0.09999999999999999,0.2995467960936885,0.755223880597015,0.7,0.46247808288364495,False,high
rsi_6d,5,2008,0.9823874755381604,0.017612524461839585,-0.014905362277137197,-0.023388876616943693,-0.03993880594440583,0.04091068218700821,-0.9762439492414279,0.29236095771179615,0.8888888888888888,0.19999999999999998,0.10185263895859664,0.6147265505652307,0.9,0.4622366159916292,False,high
gap_return,5,2038,0.99706457925636,0.0029354207436399493,0.0024118064251217974,0.024243277558906817,0.0043724946556404085,0.03763204439207669,0.11619072857389125,0.3030409694863352,0.393968506351669,0.49999999999999994,0.7107353412903603,0.3834741784037559,0.7,0.45966371115016397,False,low
